136.pgm 	 (116 , 166) 	 No Motion Centroid 	 Motion Difference
137.pgm 	 (116 , 166) 	 No Motion Centroid 	 Motion Difference
138.pgm 	 (116 , 166) 	 No Motion Centroid 	 Motion Difference
139.pgm 	 (116 , 166) 	 No Motion Centroid 	 Motion Difference
140.pgm 	 (116 , 166) 	 No Motion Centroid 	 Motion Difference
141.pgm 	 (116 , 166) 	 No Motion Centroid 	 Motion Difference
142.pgm 	 (116 , 166) 	 Motion Centroid 	 Motion Difference
143.pgm 	 (116 , 165) 	 No Motion Centroid 	 Motion Difference
144.pgm 	 (116 , 165) 	 No Motion Centroid 	 Motion Difference
145.pgm 	 (116 , 165) 	 Motion Centroid 	 Motion Difference
146.pgm 	 (115 , 165) 	 No Motion Centroid 	 Motion Difference
147.pgm 	 (115 , 165) 	 Motion Centroid 	 Motion Difference
148.pgm 	 (115 , 164) 	 No Motion Centroid 	 Motion Difference
149.pgm 	 (115 , 164) 	 No Motion Centroid 	 Motion Difference
150.pgm 	 (115 , 164) 	 No Motion Centroid 	 Motion Difference
151.pgm 	 (115 , 164) 	 Motion Centroid 	 Motion Difference
152.pgm 	 (115 , 163) 	 No Motion Centroid 	 Motion Difference
153.pgm 	 (115 , 163) 	 No Motion Centroid 	 Motion Difference
154.pgm 	 (115 , 163) 	 No Motion Centroid 	 Motion Difference
155.pgm 	 (115 , 163) 	 No Motion Centroid 	 Motion Difference
156.pgm 	 (115 , 163) 	 No Motion Centroid 	 Motion Difference
157.pgm 	 (115 , 163) 	 No Motion Centroid 	 Motion Difference
158.pgm 	 (115 , 163) 	 Motion Centroid 	 Motion Difference
159.pgm 	 (116 , 163) 	 No Motion Centroid 	 Motion Difference
160.pgm 	 (116 , 163) 	 No Motion Centroid 	 Motion Difference
161.pgm 	 (116 , 163) 	 No Motion Centroid 	 Motion Difference
162.pgm 	 (116 , 163) 	 No Motion Centroid 	 Motion Difference
163.pgm 	 (116 , 163) 	 No Motion Centroid 	 Motion Difference
164.pgm 	 (116 , 163) 	 No Motion Centroid 	 Motion Difference
165.pgm 	 (116 , 163) 	 No Motion Centroid 	 Motion Difference
166.pgm 	 (116 , 163) 	 No Motion Centroid 	 Motion Difference
167.pgm 	 (116 , 163) 	 No Motion Centroid 	 Motion Difference
168.pgm 	 (116 , 163) 	 No Motion Centroid 	 Motion Difference
169.pgm 	 (116 , 163) 	 No Motion Centroid 	 Motion Difference
170.pgm 	 (116 , 163) 	 No Motion Centroid 	 Motion Difference
171.pgm 	 (116 , 163) 	 No Motion Centroid 	 Motion Difference
172.pgm 	 (116 , 163) 	 Motion Centroid 	 Motion Difference
173.pgm 	 (115 , 163) 	 Motion Centroid 	 Motion Difference
174.pgm 	 (115 , 162) 	 Motion Centroid 	 Motion Difference
175.pgm 	 (114 , 162) 	 Motion Centroid 	 Motion Difference
176.pgm 	 (114 , 161) 	 Motion Centroid 	 Motion Difference
177.pgm 	 (113 , 161) 	 Motion Centroid 	 Motion Difference
178.pgm 	 (112 , 161) 	 Motion Centroid 	 Motion Difference
179.pgm 	 (112 , 160) 	 Motion Centroid 	 Motion Difference
180.pgm 	 (111 , 160) 	 No Motion Centroid 	 Motion Difference
181.pgm 	 (111 , 160) 	 No Motion Centroid 	 Motion Difference
182.pgm 	 (111 , 160) 	 No Motion Centroid 	 Motion Difference
183.pgm 	 (111 , 160) 	 No Motion Centroid 	 Motion Difference
184.pgm 	 (111 , 160) 	 No Motion Centroid 	 Motion Difference
185.pgm 	 (111 , 160) 	 No Motion Centroid 	 Motion Difference
186.pgm 	 (111 , 160) 	 No Motion Centroid 	 Motion Difference
187.pgm 	 (111 , 160) 	 No Motion Centroid 	 Motion Difference
188.pgm 	 (111 , 160) 	 No Motion Centroid 	 Motion Difference
189.pgm 	 (111 , 160) 	 No Motion Centroid 	 No Motion Difference
190.pgm 	 (111 , 160) 	 No Motion Centroid 	 No Motion Difference
191.pgm 	 (111 , 160) 	 No Motion Centroid 	 No Motion Difference
192.pgm 	 (111 , 160) 	 No Motion Centroid 	 No Motion Difference
193.pgm 	 (111 , 160) 	 No Motion Centroid 	 No Motion Difference
194.pgm 	 (111 , 160) 	 No Motion Centroid 	 No Motion Difference
195.pgm 	 (111 , 160) 	 No Motion Centroid 	 No Motion Difference
196.pgm 	 (111 , 160) 	 No Motion Centroid 	 No Motion Difference
197.pgm 	 (111 , 160) 	 No Motion Centroid 	 No Motion Difference
198.pgm 	 (111 , 160) 	 No Motion Centroid 	 No Motion Difference
199.pgm 	 (111 , 160) 	 No Motion Centroid 	 No Motion Difference
